Xinzhuang (1),                    line 1,      Waihuanlu:1.31,                            Xinzhuang (5):0.5 
Longyang Road (7),                line 7,      Fanghua Road:1.69,                         Huamu Road:1.14,                           Longyang Road (2):0.1,             //Longyang Road (16):0.1//
Huamu Road,                       line 7,      Longyang Road (7):1.14
Songjiang South Railway Station,  line 9,      Zuibaichi Park:1.79
Zuibaichi Park,                   line 9,      Songjiang South Railway Station:1.79,      Songjiang Sports Center:1.73
Songjiang Sports Center,          line 9,      Zuibaichi Park:1.73,                       Songjiang Xincheng:1.58
Songjiang Xincheng,               line 9,      Songjiang Sports Center:1.58,              Songjiang University Town:2.64
Songjiang University Town,        line 9,      Songjiang Xincheng:2.64,                   Dongjing:3.38
Dongjing,                         line 9,      Songjiang University Town:3.38,            Sheshan:2.20
Sheshan,                          line 9,      Dongjing:2.20,                             Sijing:3.86
Sijing,                           line 9,      Sheshan:3.86,                              Jiuting:6.24
Jiuting,                          line 9,      Sijing:6.24,                               Zhongchun Road:2.26	
Zhongchun Road,                   line 9,      Jiuting:2.26,                              Qibao:1.30
Qibao,                            line 9,      Zhongchun Road:1.30,                       Xingzhong Road:1.88
Xingzhong Road,                   line 9,      Qibao:1.88,                                Hechuan Road:1.85
Hechuan Road                      line 9,      Xingzhong Road:1.85,                       Caohejing Hi-Tech Park:1.33
Caohejing Hi-Tech Park,           line 9,      Hechuan Road:1.33,                         Guilin Road:2.03
Guilin Road,                      line 9,      Caohejing Hi-Tech Park:2.03,               Yishan Road (9):1.68
Yishan Road (9),                  line 9,      Guilin Road:1.68,                          Xujiahui (9):1.50,                         Yishan Road (3):0.1,               Yishan Road (4):0.1
Xujiahui (9),                     line 9,      Yishan Road (9):1.50,                      Zhaojiabang Road (9):1.38                  Xujiahui (1):0.1,                  //Xujiahui (11):0.1//
Zhaojiabang Road (9),             line 9,      Xujiahui (9):1.38,                         Jiashan Road (9):1.06,                     Zhaojiabang Road (7):0.1
Jiashan Road (9),                 line 9,      Zhaojiabang Road (9):1.06,                 Dapuqiao:0.87,                             //Jiashan Road (12):0.1//
Dapuqiao,                         line 9,      Jiashan Road (9):0.87,                     Madang Road (9):0.84
Madang Road (9),                  line 9,      Dapuqiao:0.84,                             Lujiabang Road (9):0.94,                   //Madang Road (13):0.1//
Lujiabang Road (9),               line 9,      Madang Road (9):0.94,                      Xiaonanmen:1.47,                           //Lujiabang Road (8):0.1//
Xiaonanmen,                       line 9,      Lujiabang Road (9):1.47,                   Shangcheng Road:2.39
Shangcheng Road,                  line 9,      Xiaonanmen:2.39,                           Century Avenue (9):0.97
Century Avenue (9),               line 9,      Shangcheng Road:0.97,                      Middle Yanggao Road:2.43,       Century Avenue (2):0.1,  Century Avenue (4):0.1,  Century Avenue (6):0.1
Middle Yanggao Road,              line 9,      Century Avenue (9):2.43,                   Fangdian Road:1.06
Fangdian Road,                    line 9,      Middle Yanggao Road:1.06,                  Lantian Road:2.12
Lantian Road,                     line 9,      Fangdian Road:2.12,                        Taierzhuang Road:2.30
Taierzhuang Road,                 line 9,      Lantian Road:2.30,                         Jinqiao:1.54
Jinqiao,                          line 9,      Taierzhuang Road:1.54,                     Jinji Road:1.69
Jinji Road,                       line 9,      Jinqiao:1.69,                              Jinhai Road (9):1.02
Jinhai Road (9),                  line 9,      Jinji Road:1.02,                           Gutang Road:1.71,                           //Jinhai Road (12):0.1//
Gutang Road,                      line 9,      Jinhai Road (9):1.71,                      Minlei Road:1.12
Minlei Road,                      line 9,      Gutang Road:1.12,                          Caolu:1.50
Caolu,                            line 9,      Minlei Road:1.50




